Entity,Code,Year,"Mean years of schooling (ISCED 1 or higher), population 25+ years, male"
Monaco,MCO,1975,9.3169
Mongolia,MNG,2000,9.13062
Mongolia,MNG,2010,9.74611
Mongolia,MNG,2018,10.318
Mongolia,MNG,2020,8.84771
Montenegro,MNE,2003,11.37109
Montenegro,MNE,2011,11.96816
Montenegro,MNE,2018,12.9173
Montserrat,MSR,1970,6.64978
Montserrat,MSR,1980,7.04091
Mozambique,MOZ,1980,1.37782
Mozambique,MOZ,2009,2.83451
Mozambique,MOZ,2011,3.37533
Mozambique,MOZ,2015,3.56369
Mozambique,MOZ,2017,3.89006
Mozambique,MOZ,2020,4.39444
Myanmar,MMR,1973,1.74975
Myanmar,MMR,1983,3.28327
Myanmar,MMR,2016,5.19389
Myanmar,MMR,2019,6.7309
Namibia,NAM,1991,5.8228
Namibia,NAM,2001,5.95075
Nepal,NPL,1971,0.45235
Nepal,NPL,1981,0.9721
Nepal,NPL,2001,4.16879
Nepal,NPL,2011,4.93156
Nepal,NPL,2016,5.1727
Nepal,NPL,2019,5.60166
Nepal,NPL,2021,5.80431
Netherlands,NLD,1971,8.13164
Netherlands,NLD,2004,12.21352
Netherlands,NLD,2005,12.21594
Netherlands,NLD,2007,12.36827
Netherlands,NLD,2008,12.27727
Netherlands,NLD,2009,12.2855
Netherlands,NLD,2010,12.35561
Netherlands,NLD,2011,12.2873
Netherlands,NLD,2012,12.34972
Netherlands,NLD,2013,12.42049
Netherlands,NLD,2014,12.43529
Netherlands,NLD,2015,12.46124
Netherlands,NLD,2016,12.47823
Netherlands,NLD,2018,12.57424
Netherlands,NLD,2020,12.81821
New Zealand,NZL,1981,9.78855
New Zealand,NZL,1991,10.84106
New Zealand,NZL,2001,13.10016
New Zealand,NZL,2006,13.35
New Zealand,NZL,2011,13.45408
New Zealand,NZL,2012,13.4186
New Zealand,NZL,2014,13.39386
New Zealand,NZL,2015,13.3185
New Zealand,NZL,2016,13.40947
New Zealand,NZL,2020,12.95394
Niger,NER,1977,0.80053
Niger,NER,2012,2.29924
Niger,NER,2018,1.67489
Nigeria,NGA,2006,9.01291
Nigeria,NGA,2016,8.46578
Nigeria,NGA,2018,8.00315
Nigeria,NGA,2019,8.73811
Nigeria,NGA,2021,8.70036
Niue,NIU,1976,6.18609
North Macedonia,MKD,2002,7.87644
North Macedonia,MKD,2018,12.19806
North Macedonia,MKD,2020,10.80744
Norway,NOR,1970,9.39782
Norway,NOR,1975,9.57561
Norway,NOR,1980,9.91518
Norway,NOR,1990,11.42721
Norway,NOR,2004,12.29657
Norway,NOR,2005,12.34629
Norway,NOR,2006,12.39769
Norway,NOR,2007,12.425
Norway,NOR,2008,12.46559
Norway,NOR,2009,12.48321
Norway,NOR,2010,12.51506
Norway,NOR,2011,12.55559
Norway,NOR,2014,12.66079
Norway,NOR,2015,12.70434
Norway,NOR,2016,12.73443
Norway,NOR,2017,12.84495
Norway,NOR,2019,12.87032
Oman,OMN,2003,6.88782
Oman,OMN,2008,8.48976
Oman,OMN,2010,8.14153
Oman,OMN,2015,9.37921
Oman,OMN,2020,11.6294
Oman,OMN,2022,11.69499
Pakistan,PAK,1972,2.48482
Pakistan,PAK,1981,2.60278
Pakistan,PAK,2005,4.01121
Pakistan,PAK,2006,6.10245
Pakistan,PAK,2008,6.04463
Pakistan,PAK,2009,6.02661
Pakistan,PAK,2010,6.16876
Pakistan,PAK,2011,6.35326
Pakistan,PAK,2012,6.25734
Pakistan,PAK,2013,6.31497
Pakistan,PAK,2014,6.50336
Pakistan,PAK,2017,6.37861
Pakistan,PAK,2018,5.94052
Pakistan,PAK,2019,5.03537
Palau,PLW,2013,12.78334
Palestine,PSE,2004,8.47155
Palestine,PSE,2006,8.51888
Palestine,PSE,2007,8.64202
Palestine,PSE,2008,8.66934
Palestine,PSE,2009,8.95952
Palestine,PSE,2010,8.95605
Palestine,PSE,2011,9.14459
Palestine,PSE,2012,9.3294
Palestine,PSE,2013,9.25683
Palestine,PSE,2014,9.27632
Palestine,PSE,2015,9.36872
Palestine,PSE,2016,9.36723
Palestine,PSE,2017,9.42164
Palestine,PSE,2018,9.62758
Palestine,PSE,2019,11.05366
Palestine,PSE,2020,9.96013
Palestine,PSE,2022,10.03093
Panama,PAN,1980,5.97759
Panama,PAN,1990,7.33738
Panama,PAN,2000,7.74829
Panama,PAN,2010,9.05107
Panama,PAN,2019,10.26065
Papua New Guinea,PNG,2018,5.61285
Paraguay,PRY,1972,4.16292
Paraguay,PRY,1982,4.98706
Paraguay,PRY,1992,6.11911
Paraguay,PRY,2003,7.06352
Paraguay,PRY,2005,7.52665
Paraguay,PRY,2006,7.26992
Paraguay,PRY,2007,7.32732
Paraguay,PRY,2008,7.50068
Paraguay,PRY,2009,7.37458
Paraguay,PRY,2012,7.79051
Paraguay,PRY,2013,8.26467
Paraguay,PRY,2014,8.25653
Paraguay,PRY,2015,8.53336
Paraguay,PRY,2016,8.32442
Paraguay,PRY,2018,8.57817
Paraguay,PRY,2019,8.81262
Paraguay,PRY,2020,8.86771
Peru,PER,1972,4.77346
Peru,PER,1981,6.55279
Peru,PER,1993,8.83442
Peru,PER,2004,9.03239
Peru,PER,2005,8.48332
Peru,PER,2006,8.64357
Peru,PER,2007,8.92088
Peru,PER,2008,8.92345
Peru,PER,2009,8.96292
Peru,PER,2010,9.54069
Peru,PER,2011,9.4747
Peru,PER,2012,9.65648
Peru,PER,2013,9.67161
Peru,PER,2014,9.7743
Peru,PER,2015,9.59677
Peru,PER,2018,10.32203
Philippines,PHL,1970,5.15641
Philippines,PHL,1975,5.72482
Philippines,PHL,1980,6.27887
Philippines,PHL,1990,7.28161
Philippines,PHL,2000,7.53326
Philippines,PHL,2004,8.46773
Philippines,PHL,2008,8.56779
Philippines,PHL,2010,8.79313
Philippines,PHL,2013,8.97552
Philippines,PHL,2017,7.8944
Philippines,PHL,2019,8.70255
Philippines,PHL,2020,8.65947
Philippines,PHL,2022,9.78084
Poland,POL,1970,7.12134
Poland,POL,1978,8.25253
Poland,POL,1988,9.34205
Poland,POL,2002,11.68507
Poland,POL,2008,12.25184
Poland,POL,2009,12.38544
Poland,POL,2010,12.33379
Poland,POL,2011,12.54266
Poland,POL,2012,12.7762
Poland,POL,2013,12.74464
Poland,POL,2014,12.78657
Poland,POL,2016,12.87273
Poland,POL,2020,12.9682
Portugal,PRT,1970,4.02935
Portugal,PRT,1981,5.16762
Portugal,PRT,1991,5.81609
Portugal,PRT,1998,6.87968
Portugal,PRT,1999,6.93414
Portugal,PRT,2000,6.99853
Portugal,PRT,2001,7.0714
Portugal,PRT,2002,7.11404
Portugal,PRT,2003,7.27869
Portugal,PRT,2004,7.51038
Portugal,PRT,2005,7.6061
Portugal,PRT,2006,7.71538
Portugal,PRT,2007,7.73164
Portugal,PRT,2008,7.83456
Portugal,PRT,2009,7.96752
Portugal,PRT,2010,8.05117
Portugal,PRT,2011,8.29401
Portugal,PRT,2012,8.5021
Portugal,PRT,2013,8.63296
Portugal,PRT,2014,8.82856
Portugal,PRT,2015,8.95325
Portugal,PRT,2016,9.06727
Portugal,PRT,2017,9.15011
Portugal,PRT,2018,9.0533
Portugal,PRT,2019,9.28472
Portugal,PRT,2020,9.53867
Puerto Rico,PRI,1970,6.89395
Puerto Rico,PRI,1980,8.77849
Puerto Rico,PRI,1990,9.30684
Puerto Rico,PRI,2000,11.14835
Puerto Rico,PRI,2005,11.54941
Puerto Rico,PRI,2006,11.43847
Puerto Rico,PRI,2007,11.62971
Puerto Rico,PRI,2008,11.64242
Puerto Rico,PRI,2011,11.68382
Puerto Rico,PRI,2012,11.88206
Puerto Rico,PRI,2017,12.55859
Qatar,QAT,1986,5.01558
Qatar,QAT,2004,7.98793
Qatar,QAT,2007,9.30941
Qatar,QAT,2008,9.43062
Qatar,QAT,2009,8.89236
Qatar,QAT,2010,8.19202
Qatar,QAT,2011,8.35676
Qatar,QAT,2012,8.81114
Qatar,QAT,2013,9.58896
Qatar,QAT,2014,9.45021
Qatar,QAT,2016,9.34215
Qatar,QAT,2017,9.36732
Qatar,QAT,2022,10.24393
Romania,ROU,1992,9.50707
Romania,ROU,2002,10.39471
Romania,ROU,2007,11.17232
Romania,ROU,2008,11.20953
Romania,ROU,2009,11.19047
Romania,ROU,2010,11.22227
Romania,ROU,2011,11.31935
Romania,ROU,2012,11.38249
Romania,ROU,2013,11.42079
Romania,ROU,2014,11.2546
Romania,ROU,2015,11.37949
Romania,ROU,2016,11.45812
Romania,ROU,2017,11.49177
Romania,ROU,2019,11.58393
Romania,ROU,2020,11.69312
Romania,ROU,2021,11.75949
Romania,ROU,2022,11.81682
Russia,RUS,1989,7.60434
Russia,RUS,2002,11.94576
Russia,RUS,2010,12.33137
Russia,RUS,2021,12.32426
Rwanda,RWA,1978,1.58522
Rwanda,RWA,2012,4.35714
Rwanda,RWA,2014,4.63628
Rwanda,RWA,2015,4.66895
Rwanda,RWA,2018,4.81869
Rwanda,RWA,2020,5.35192
Rwanda,RWA,2022,5.31957
Saint Kitts and Nevis,KNA,1970,6.61294
Saint Kitts and Nevis,KNA,1980,8.20154
Saint Lucia,LCA,1970,4.19026
Saint Lucia,LCA,1980,4.91065
Saint Lucia,LCA,1991,6.57983
Saint Lucia,LCA,2010,8.07457
Saint Lucia,LCA,2013,8.07754
Saint Lucia,LCA,2019,8.29069
Saint Vincent and the Grenadines,VCT,1970,5.6224
Saint Vincent and the Grenadines,VCT,2017,10.74548
Samoa,WSM,1971,6.27914
Samoa,WSM,1976,5.73299
Samoa,WSM,1981,6.5046
Samoa,WSM,2001,10.80787
Samoa,WSM,2011,11.55088
Samoa,WSM,2019,11.02199
San Marino,SMR,2018,10.69499
San Marino,SMR,2020,11.08066
San Marino,SMR,2022,11.38215
Sao Tome and Principe,STP,1981,2.4619
Sao Tome and Principe,STP,2012,6.10778
Sao Tome and Principe,STP,2019,6.61554
Saudi Arabia,SAU,2000,7.74106
Saudi Arabia,SAU,2004,8.05771
Saudi Arabia,SAU,2013,10.07446
Saudi Arabia,SAU,2017,10.51719
Saudi Arabia,SAU,2020,11.67045
Senegal,SEN,2006,2.13846
Senegal,SEN,2011,3.17675
Senegal,SEN,2013,3.49883
Senegal,SEN,2015,3.33262
Senegal,SEN,2016,3.70438
Senegal,SEN,2017,4.10517
Senegal,SEN,2018,3.86572
Senegal,SEN,2019,3.68343
Serbia,SRB,2002,8.6192
Serbia,SRB,2008,10.962
Serbia,SRB,2009,10.99737
Serbia,SRB,2010,11.05685
Serbia,SRB,2011,11.14607
Serbia,SRB,2013,11.12466
Serbia,SRB,2014,11.29434
Serbia,SRB,2015,11.50028
Serbia,SRB,2016,11.58726
Serbia,SRB,2017,11.6051
Serbia,SRB,2019,11.75636
Seychelles,SYC,1971,4.24263
Seychelles,SYC,2002,10.54508
Sierra Leone,SLE,2004,4.44987
Sierra Leone,SLE,2017,4.83721
Sierra Leone,SLE,2019,4.79608
Singapore,SGP,1980,4.24348
Singapore,SGP,1990,6.66481
Singapore,SGP,1995,8.59065
Singapore,SGP,2005,11.06258
Singapore,SGP,2006,10.90761
Singapore,SGP,2007,10.99231
Singapore,SGP,2008,11.2575
Singapore,SGP,2009,11.2721
Singapore,SGP,2010,11.62496
Singapore,SGP,2011,11.69859
Singapore,SGP,2012,11.69347
Singapore,SGP,2013,11.8157
Singapore,SGP,2014,11.85299
Singapore,SGP,2015,11.99047
Singapore,SGP,2016,12.018
Singapore,SGP,2017,11.96003
Singapore,SGP,2018,12.17492
Singapore,SGP,2019,12.21098
Singapore,SGP,2020,12.25471
Singapore,SGP,2021,12.2293
Singapore,SGP,2022,12.14091
Slovakia,SVK,1991,7.98771
Slovakia,SVK,2001,10.34082
Slovakia,SVK,2011,12.7045
Slovakia,SVK,2012,12.56204
Slovakia,SVK,2013,12.62933
Slovakia,SVK,2014,12.61561
Slovakia,SVK,2015,12.77102
Slovakia,SVK,2016,12.81199
Slovakia,SVK,2017,12.84747
Slovakia,SVK,2018,12.92674
Slovakia,SVK,2019,12.95856
Slovenia,SVN,1991,8.30306
Slovenia,SVN,2004,12.12691
Slovenia,SVN,2005,11.99882
Slovenia,SVN,2006,12.05691
Slovenia,SVN,2007,11.90086
Slovenia,SVN,2008,12.1373
Slovenia,SVN,2009,12.23974
Slovenia,SVN,2010,12.26576
Slovenia,SVN,2011,12.38192
Slovenia,SVN,2012,12.39231
Slovenia,SVN,2013,12.48729
Slovenia,SVN,2014,12.52621
Slovenia,SVN,2015,12.60202
Slovenia,SVN,2016,12.68286
Slovenia,SVN,2017,12.69075
Slovenia,SVN,2019,12.77306
Somalia,SOM,2022,2.915
South Africa,ZAF,1970,4.74036
South Africa,ZAF,1985,5.12342
South Africa,ZAF,2001,7.7618
South Africa,ZAF,2002,8.7939
South Africa,ZAF,2003,9.09231
South Africa,ZAF,2004,9.0601
South Africa,ZAF,2005,9.23236
South Africa,ZAF,2006,9.27683
South Africa,ZAF,2007,9.36936
South Africa,ZAF,2008,9.55569
South Africa,ZAF,2009,9.88485
South Africa,ZAF,2010,9.95206
South Africa,ZAF,2011,9.88418
South Africa,ZAF,2012,10.17279
South Africa,ZAF,2014,10.34145
South Africa,ZAF,2015,10.45115
South Africa,ZAF,2016,9.53493
South Africa,ZAF,2017,10.2777
South Africa,ZAF,2019,12.15235
South Africa,ZAF,2020,10.65506
South Africa,ZAF,2021,11.72364
South Korea,KOR,1970,6.865
South Korea,KOR,1975,8.08151
South Korea,KOR,1980,8.69333
South Korea,KOR,1985,10.70476
South Korea,KOR,1990,10.53159
South Korea,KOR,1995,11.23645
South Korea,KOR,2000,11.65849
South Korea,KOR,2005,12.21027
South Korea,KOR,2009,11.86398
South Korea,KOR,2010,12.45993
South Korea,KOR,2015,12.85294
South Sudan,SSD,2008,6.18948
Spain,ESP,1970,5.19636
Spain,ESP,1981,5.35725
Spain,ESP,1986,5.82879
Spain,ESP,1991,6.55143
Spain,ESP,2004,8.95799
Spain,ESP,2005,9.23632
Spain,ESP,2006,9.32472
Spain,ESP,2007,9.41472
Spain,ESP,2008,9.46062
Spain,ESP,2009,9.49834
Spain,ESP,2010,9.61129
Spain,ESP,2011,9.71719
Spain,ESP,2012,9.71911
Spain,ESP,2014,9.8971
Spain,ESP,2015,10.06324
Spain,ESP,2016,10.13288
Spain,ESP,2018,10.24232
Spain,ESP,2020,10.68845
Sri Lanka,LKA,1971,5.45317
Sri Lanka,LKA,1981,6.10102
Sri Lanka,LKA,2001,10.3813
Sri Lanka,LKA,2008,10.24739
Sri Lanka,LKA,2009,10.35054
Sri Lanka,LKA,2016,10.52407
Sri Lanka,LKA,2017,10.60875
Sri Lanka,LKA,2018,10.65071
Sri Lanka,LKA,2019,10.70356
Sri Lanka,LKA,2020,10.82703
Sri Lanka,LKA,2021,11.38662
Sri Lanka,LKA,2022,11.37936
Sudan,SDN,1983,2.17853
Sudan (former),,1983,1.68769
Suriname,SUR,2004,8.09853
Suriname,SUR,2012,9.24609
Suriname,SUR,2018,8.18893
Sweden,SWE,1970,6.75167
Sweden,SWE,1974,7.49037
Sweden,SWE,1979,8.5961
Sweden,SWE,1986,8.89857
Sweden,SWE,1987,9.0625
Sweden,SWE,1988,9.2234
Sweden,SWE,1989,9.38519
Sweden,SWE,1990,9.58229
Sweden,SWE,1991,9.73239
Sweden,SWE,1992,9.99738
Sweden,SWE,1993,10.15553
Sweden,SWE,1994,10.29369
Sweden,SWE,1995,10.4648
Sweden,SWE,2004,12.00824
Sweden,SWE,2005,12.07862
Sweden,SWE,2006,12.13995
Sweden,SWE,2007,12.20116
Sweden,SWE,2008,11.9912
Sweden,SWE,2009,12.05024
Sweden,SWE,2010,12.10718
Sweden,SWE,2011,12.16608
Sweden,SWE,2012,12.22095
Sweden,SWE,2013,12.15838
Sweden,SWE,2014,12.2043
Sweden,SWE,2015,12.24822
Sweden,SWE,2016,12.29128
Sweden,SWE,2017,12.35186
Sweden,SWE,2019,12.44829
Switzerland,CHE,1980,8.06295
Switzerland,CHE,2009,13.93905
Switzerland,CHE,2010,13.87328
Switzerland,CHE,2011,13.85696
Switzerland,CHE,2012,13.94225
Switzerland,CHE,2014,14.14759
Switzerland,CHE,2015,14.17958
Switzerland,CHE,2016,14.15322
Switzerland,CHE,2018,14.22372
Switzerland,CHE,2019,14.24829
Syria,SYR,1970,2.46258
Syria,SYR,2002,5.33154
Syria,SYR,2007,7.61755
Syria,SYR,2008,7.08525
Syria,SYR,2009,7.34266
Tajikistan,TJK,1989,10.06128
Tajikistan,TJK,2000,11.32771
Tajikistan,TJK,2017,12.00534
Tanzania,TZA,2002,5.04883
Tanzania,TZA,2012,6.08506
Tanzania,TZA,2015,6.27272
Tanzania,TZA,2018,6.24219
Thailand,THA,1970,3.40673
Thailand,THA,1980,4.26332
Thailand,THA,2004,7.48137
Thailand,THA,2006,7.30178
Thailand,THA,2010,7.82145
Thailand,THA,2013,8.16667
Thailand,THA,2016,8.53242
Thailand,THA,2018,8.58686
Thailand,THA,2019,8.83826
Thailand,THA,2022,9.23316
Togo,TGO,1970,0.91215
Togo,TGO,2009,4.86534
Togo,TGO,2011,5.56486
Togo,TGO,2017,6.59686
Tonga,TON,1986,7.99769
Tonga,TON,1996,10.15466
Tonga,TON,2006,10.19157
Tonga,TON,2011,10.93795
Tonga,TON,2019,10.77633
Trinidad and Tobago,TTO,1970,6.0427
Trinidad and Tobago,TTO,1980,6.98285
Trinidad and Tobago,TTO,1990,7.37326
Trinidad and Tobago,TTO,2008,10.31306
Trinidad and Tobago,TTO,2009,10.31847
Trinidad and Tobago,TTO,2011,10.62323
Tunisia,TUN,1975,2.03868
Tunisia,TUN,1980,3.11266
Tunisia,TUN,1984,3.78958
Tunisia,TUN,2008,7.42284
Tunisia,TUN,2010,7.67465
Tunisia,TUN,2011,7.87024
Tunisia,TUN,2012,7.75454
Tunisia,TUN,2016,7.972
Tunisia,TUN,2018,8.42865
Tunisia,TUN,2019,7.92737
Turkey,TUR,1975,3.03168
Turkey,TUR,1980,3.74626
Turkey,TUR,1985,4.93827
Turkey,TUR,2004,6.89017
Turkey,TUR,2005,7.05176
Turkey,TUR,2006,7.13713
Turkey,TUR,2007,7.19042
Turkey,TUR,2008,7.30927
Turkey,TUR,2009,7.46852
Turkey,TUR,2010,8.03465
Turkey,TUR,2011,8.28522
Turkey,TUR,2012,8.39064
Turkey,TUR,2013,8.52613
Turkey,TUR,2014,8.67823
Turkey,TUR,2015,8.83253
Turkey,TUR,2016,8.9467
Turkey,TUR,2017,9.10125
Turkey,TUR,2019,9.4116
Turkmenistan,TKM,1995,11.42259
Turkmenistan,TKM,2015,11.10798
Turkmenistan,TKM,2019,11.40062
Turks and Caicos Islands,TCA,1970,5.95205
Turks and Caicos Islands,TCA,1980,6.58562
Turks and Caicos Islands,TCA,2019,11.14869
Tuvalu,TUV,1991,7.8903
Tuvalu,TUV,2019,10.71009
Uganda,UGA,1991,4.39067
Uganda,UGA,2002,5.15705
Uganda,UGA,2008,5.16767
Uganda,UGA,2010,6.47107
Uganda,UGA,2012,6.33429
Uganda,UGA,2016,7.09116
Ukraine,UKR,1970,6.56608
Ukraine,UKR,2001,11.12515
United Arab Emirates,ARE,1975,3.17781
United Arab Emirates,ARE,2005,8.64947
United Arab Emirates,ARE,2017,12.37266
United Arab Emirates,ARE,2018,12.68007
United Arab Emirates,ARE,2019,12.80508
United Arab Emirates,ARE,2021,12.90589
United Arab Emirates,ARE,2022,13.10813
United Kingdom,GBR,1971,11.43126
United Kingdom,GBR,2009,13.19761
United Kingdom,GBR,2010,13.30865
United Kingdom,GBR,2011,13.3026
United Kingdom,GBR,2012,13.40786
United Kingdom,GBR,2013,12.92059
United Kingdom,GBR,2014,12.94114
United Kingdom,GBR,2017,13.16766
United Kingdom,GBR,2020,13.36057
United Kingdom,GBR,2021,13.42925
United States,USA,1970,11.11687
United States,USA,1975,11.89029
United States,USA,1979,12.23678
United States,USA,1980,12.61288
United States,USA,1981,12.85388
United States,USA,1994,13.30802
United States,USA,2004,12.88046
United States,USA,2005,12.86592
United States,USA,2006,12.91221
United States,USA,2008,12.99529
United States,USA,2009,13.00476
United States,USA,2010,13.03912
United States,USA,2011,13.10235
United States,USA,2012,13.14698
United States,USA,2013,13.19358
United States,USA,2014,13.20053
United States,USA,2015,13.22016
United States,USA,2016,13.30447
United States,USA,2017,13.36866
United States,USA,2018,13.47345
United States,USA,2020,13.62498
United States,USA,2021,13.49329
United States,USA,2022,13.81907
Uruguay,URY,1975,5.70935
Uruguay,URY,1985,6.77127
Uruguay,URY,1996,7.30146
Uruguay,URY,2003,8.73718
Uruguay,URY,2006,7.78927
Uruguay,URY,2008,8.16077
Uruguay,URY,2009,8.16535
Uruguay,URY,2010,8.12232
Uruguay,URY,2011,8.15025
Uruguay,URY,2012,8.20385
Uruguay,URY,2013,8.2742
Uruguay,URY,2014,8.33952
Uruguay,URY,2015,8.39488
Uruguay,URY,2016,8.40811
Uruguay,URY,2017,8.54041
Uruguay,URY,2018,8.6091
Uruguay,URY,2019,8.67691
Uzbekistan,UZB,2013,11.47641
Uzbekistan,UZB,2014,11.53852
Uzbekistan,UZB,2015,11.55514
Uzbekistan,UZB,2016,11.90655
Uzbekistan,UZB,2018,11.96164
Uzbekistan,UZB,2019,12.06483
Uzbekistan,UZB,2021,12.08939
Uzbekistan,UZB,2022,12.07958
Venezuela,VEN,1971,3.53399
Venezuela,VEN,1981,5.66121
Venezuela,VEN,1990,5.46128
Venezuela,VEN,2001,8.227
Venezuela,VEN,2006,7.35899
Venezuela,VEN,2007,7.79483
Venezuela,VEN,2008,7.9093
Venezuela,VEN,2009,7.99272
Venezuela,VEN,2011,8.77917
Venezuela,VEN,2015,9.29819
Venezuela,VEN,2016,10.01546
Vietnam,VNM,1979,7.54907
Vietnam,VNM,1989,4.63733
Vietnam,VNM,2009,8.11578
Vietnam,VNM,2019,8.80136
Vietnam,VNM,2022,9.47043
Zambia,ZMB,1980,4.75386
Zambia,ZMB,1990,5.77907
Zambia,ZMB,2018,8.1003
Zimbabwe,ZWE,1992,6.23846
Zimbabwe,ZWE,2002,7.78964
Zimbabwe,ZWE,2012,8.27092
Zimbabwe,ZWE,2014,8.8634
Zimbabwe,ZWE,2015,9.26535
Zimbabwe,ZWE,2017,8.91627
Zimbabwe,ZWE,2019,9.46264
